uid	dataid	image	label
i0027	crc	TrainingBatch1/volume-27.nii	TrainingBatch1/segmentation-27.nii
i0028	crc	TrainingBatch2/volume-28.nii	TrainingBatch2/segmentation-28.nii
i0029	crc	TrainingBatch2/volume-29.nii	TrainingBatch2/segmentation-29.nii
i0030	crc	TrainingBatch2/volume-30.nii	TrainingBatch2/segmentation-30.nii
i0031	crc	TrainingBatch2/volume-31.nii	TrainingBatch2/segmentation-31.nii
i0032	crc	TrainingBatch2/volume-32.nii	TrainingBatch2/segmentation-32.nii
i0033	crc	TrainingBatch2/volume-33.nii	TrainingBatch2/segmentation-33.nii
i0034	crc	TrainingBatch2/volume-34.nii	TrainingBatch2/segmentation-34.nii
i0035	crc	TrainingBatch2/volume-35.nii	TrainingBatch2/segmentation-35.nii
i0036	crc	TrainingBatch2/volume-36.nii	TrainingBatch2/segmentation-36.nii
i0037	crc	TrainingBatch2/volume-37.nii	TrainingBatch2/segmentation-37.nii
i0038	crc	TrainingBatch2/volume-38.nii	TrainingBatch2/segmentation-38.nii
i0039	crc	TrainingBatch2/volume-39.nii	TrainingBatch2/segmentation-39.nii
i0040	crc	TrainingBatch2/volume-40.nii	TrainingBatch2/segmentation-40.nii
i0041	crc	TrainingBatch2/volume-41.nii	TrainingBatch2/segmentation-41.nii
i0042	crc	TrainingBatch2/volume-42.nii	TrainingBatch2/segmentation-42.nii
i0043	crc	TrainingBatch2/volume-43.nii	TrainingBatch2/segmentation-43.nii
i0044	crc	TrainingBatch2/volume-44.nii	TrainingBatch2/segmentation-44.nii
i0045	crc	TrainingBatch2/volume-45.nii	TrainingBatch2/segmentation-45.nii
i0046	crc	TrainingBatch2/volume-46.nii	TrainingBatch2/segmentation-46.nii
i0047	crc	TrainingBatch2/volume-47.nii	TrainingBatch2/segmentation-47.nii
i0048	crc	TrainingBatch2/volume-48.nii	TrainingBatch2/segmentation-48.nii
i0049	crc	TrainingBatch2/volume-49.nii	TrainingBatch2/segmentation-49.nii
i0050	crc	TrainingBatch2/volume-50.nii	TrainingBatch2/segmentation-50.nii
i0051	crc	TrainingBatch2/volume-51.nii	TrainingBatch2/segmentation-51.nii
i0052	crc	TrainingBatch2/volume-52.nii	TrainingBatch2/segmentation-52.nii
i0053	crc	TrainingBatch2/volume-53.nii	TrainingBatch2/segmentation-53.nii
i0054	crc	TrainingBatch2/volume-54.nii	TrainingBatch2/segmentation-54.nii
i0055	crc	TrainingBatch2/volume-55.nii	TrainingBatch2/segmentation-55.nii
i0056	crc	TrainingBatch2/volume-56.nii	TrainingBatch2/segmentation-56.nii
i0057	crc	TrainingBatch2/volume-57.nii	TrainingBatch2/segmentation-57.nii
i0058	crc	TrainingBatch2/volume-58.nii	TrainingBatch2/segmentation-58.nii
i0059	crc	TrainingBatch2/volume-59.nii	TrainingBatch2/segmentation-59.nii
i0060	crc	TrainingBatch2/volume-60.nii	TrainingBatch2/segmentation-60.nii
i0061	crc	TrainingBatch2/volume-61.nii	TrainingBatch2/segmentation-61.nii
i0062	crc	TrainingBatch2/volume-62.nii	TrainingBatch2/segmentation-62.nii
i0063	crc	TrainingBatch2/volume-63.nii	TrainingBatch2/segmentation-63.nii
i0064	crc	TrainingBatch2/volume-64.nii	TrainingBatch2/segmentation-64.nii
i0065	crc	TrainingBatch2/volume-65.nii	TrainingBatch2/segmentation-65.nii
i0066	crc	TrainingBatch2/volume-66.nii	TrainingBatch2/segmentation-66.nii
i0067	crc	TrainingBatch2/volume-67.nii	TrainingBatch2/segmentation-67.nii
i0068	crc	TrainingBatch2/volume-68.nii	TrainingBatch2/segmentation-68.nii
i0069	crc	TrainingBatch2/volume-69.nii	TrainingBatch2/segmentation-69.nii
i0070	crc	TrainingBatch2/volume-70.nii	TrainingBatch2/segmentation-70.nii
i0071	crc	TrainingBatch2/volume-71.nii	TrainingBatch2/segmentation-71.nii
i0072	crc	TrainingBatch2/volume-72.nii	TrainingBatch2/segmentation-72.nii
i0073	crc	TrainingBatch2/volume-73.nii	TrainingBatch2/segmentation-73.nii
i0074	crc	TrainingBatch2/volume-74.nii	TrainingBatch2/segmentation-74.nii
i0075	crc	TrainingBatch2/volume-75.nii	TrainingBatch2/segmentation-75.nii
i0076	crc	TrainingBatch2/volume-76.nii	TrainingBatch2/segmentation-76.nii
i0077	crc	TrainingBatch2/volume-77.nii	TrainingBatch2/segmentation-77.nii
i0078	crc	TrainingBatch2/volume-78.nii	TrainingBatch2/segmentation-78.nii
i0079	crc	TrainingBatch2/volume-79.nii	TrainingBatch2/segmentation-79.nii
i0080	crc	TrainingBatch2/volume-80.nii	TrainingBatch2/segmentation-80.nii
i0081	crc	TrainingBatch2/volume-81.nii	TrainingBatch2/segmentation-81.nii
i0082	crc	TrainingBatch2/volume-82.nii	TrainingBatch2/segmentation-82.nii
i0083	crc	TrainingBatch2/volume-83.nii	TrainingBatch2/segmentation-83.nii
i0084	crc	TrainingBatch2/volume-84.nii	TrainingBatch2/segmentation-84.nii
i0085	crc	TrainingBatch2/volume-85.nii	TrainingBatch2/segmentation-85.nii
i0086	crc	TrainingBatch2/volume-86.nii	TrainingBatch2/segmentation-86.nii
i0087	crc	TrainingBatch2/volume-87.nii	TrainingBatch2/segmentation-87.nii
i0088	crc	TrainingBatch2/volume-88.nii	TrainingBatch2/segmentation-88.nii
i0089	crc	TrainingBatch2/volume-89.nii	TrainingBatch2/segmentation-89.nii
i0090	crc	TrainingBatch2/volume-90.nii	TrainingBatch2/segmentation-90.nii
i0091	crc	TrainingBatch2/volume-91.nii	TrainingBatch2/segmentation-91.nii
i0092	crc	TrainingBatch2/volume-92.nii	TrainingBatch2/segmentation-92.nii
i0093	crc	TrainingBatch2/volume-93.nii	TrainingBatch2/segmentation-93.nii
i0094	crc	TrainingBatch2/volume-94.nii	TrainingBatch2/segmentation-94.nii
i0095	crc	TrainingBatch2/volume-95.nii	TrainingBatch2/segmentation-95.nii
i0096	crc	TrainingBatch2/volume-96.nii	TrainingBatch2/segmentation-96.nii
i0097	crc	TrainingBatch2/volume-97.nii	TrainingBatch2/segmentation-97.nii
i0098	crc	TrainingBatch2/volume-98.nii	TrainingBatch2/segmentation-98.nii
i0099	crc	TrainingBatch2/volume-99.nii	TrainingBatch2/segmentation-99.nii
i0100	crc	TrainingBatch2/volume-100.nii	TrainingBatch2/segmentation-100.nii
i0101	crc	TrainingBatch2/volume-101.nii	TrainingBatch2/segmentation-101.nii
i0102	crc	TrainingBatch2/volume-102.nii	TrainingBatch2/segmentation-102.nii
i0103	crc	TrainingBatch2/volume-103.nii	TrainingBatch2/segmentation-103.nii
i0104	crc	TrainingBatch2/volume-104.nii	TrainingBatch2/segmentation-104.nii
i0105	crc	TrainingBatch2/volume-105.nii	TrainingBatch2/segmentation-105.nii
i0106	crc	TrainingBatch2/volume-106.nii	TrainingBatch2/segmentation-106.nii
i0107	crc	TrainingBatch2/volume-107.nii	TrainingBatch2/segmentation-107.nii
i0108	crc	TrainingBatch2/volume-108.nii	TrainingBatch2/segmentation-108.nii
i0109	crc	TrainingBatch2/volume-109.nii	TrainingBatch2/segmentation-109.nii
i0110	crc	TrainingBatch2/volume-110.nii	TrainingBatch2/segmentation-110.nii
i0111	crc	TrainingBatch2/volume-111.nii	TrainingBatch2/segmentation-111.nii
i0112	crc	TrainingBatch2/volume-112.nii	TrainingBatch2/segmentation-112.nii
i0113	crc	TrainingBatch2/volume-113.nii	TrainingBatch2/segmentation-113.nii
i0114	crc	TrainingBatch2/volume-114.nii	TrainingBatch2/segmentation-114.nii
i0115	crc	TrainingBatch2/volume-115.nii	TrainingBatch2/segmentation-115.nii
i0116	crc	TrainingBatch2/volume-116.nii	TrainingBatch2/segmentation-116.nii
i0117	crc	TrainingBatch2/volume-117.nii	TrainingBatch2/segmentation-117.nii
i0118	crc	TrainingBatch2/volume-118.nii	TrainingBatch2/segmentation-118.nii
i0119	crc	TrainingBatch2/volume-119.nii	TrainingBatch2/segmentation-119.nii
i0120	crc	TrainingBatch2/volume-120.nii	TrainingBatch2/segmentation-120.nii
i0121	crc	TrainingBatch2/volume-121.nii	TrainingBatch2/segmentation-121.nii
i0122	crc	TrainingBatch2/volume-122.nii	TrainingBatch2/segmentation-122.nii
i0123	crc	TrainingBatch2/volume-123.nii	TrainingBatch2/segmentation-123.nii
i0124	crc	TrainingBatch2/volume-124.nii	TrainingBatch2/segmentation-124.nii
i0125	crc	TrainingBatch2/volume-125.nii	TrainingBatch2/segmentation-125.nii
i0126	crc	TrainingBatch2/volume-126.nii	TrainingBatch2/segmentation-126.nii
i0127	crc	TrainingBatch2/volume-127.nii	TrainingBatch2/segmentation-127.nii
i0128	crc	TrainingBatch2/volume-128.nii	TrainingBatch2/segmentation-128.nii
i0129	crc	TrainingBatch2/volume-129.nii	TrainingBatch2/segmentation-129.nii
i0130	crc	TrainingBatch2/volume-130.nii	TrainingBatch2/segmentation-130.nii
